nc,lv,yr,pid,mid,sn,pn,gnd,hse,tg,sc,sl,ss,sr,g,gd,log,stdResA,stdResB,isIEP,isEAL,isGT,isTotal,isKPI,isVA
13,US,2010,24380,753963218,Shanna,Jillis,M,SHB,x,A,Chemistry,C,H432A,C/A,U,x,-4.26299,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,15981,907904427,Carina,Dunkerly,M,C,x,G,Chemistry,C,x,Sc.4,2,x,-3.993862398,NULL,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,28957,430647081,Seana,Halpeine,M,Bw,x,G,Chemistry,C,x,Sc.4,2,x,-3.845629656,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2005,43148,517425101,Humfried,Armfirld,F,RH,x,A,Chemistry,C,H432A,x,E,x,-3.336614,-1.809479,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2010,28198,212716013,Alexander,Collens,F,RHD,x,A,Chemistry,C,H432A,C/A,D,x,-3.242634,-1.891146,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
13,US,2006,35887,182005684,Lona,Kilgannon,F,RH,x,I,Chemistry (SL),Cs,8035,C.C2s,3,x,-3.13096,-1.687952,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
13,US,2011,21863,313754898,Osborne,Vargas,M,SHD,x,I,Chemistry (HL),Ch,x,7/Ch/A,3,x,-2.782363,-1.492162,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,20672,344436005,Jackie,Wheeldon,F,Hm,x,G,Chemistry,C,x,Sc.4,4,x,-2.614384569,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2005,21117,522046089,Irma,Deek,F,RH,x,A,Chemistry,C,H432A,x,D,x,-2.568278,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,17143,511207982,Ingeborg,Robard,M,C,x,G,Chemistry,C,x,Sc.4,3,x,-2.487856018,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2005,49590,254411473,Hunfredo,Marzelli,M,SH,x,A,Chemistry,C,H432A,x,D,x,-2.449219,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2012,23287,803129228,Arvy,Barringer,F,RHD,x,A,Chemistry,C,H432A,7/C/A,E,,-2.42712,-2.208329,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2006,33176,854823786,Belita,Gavozzi,F,RH,x,A,Chemistry,C,H432A,C.C,E,x,-2.364785,-1.790277,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,37747,232557102,Lidia,Ferrierio,M,Cl,x,G,Chemistry,C,x,Sc.3,4,x,-2.344454381,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2007,42966,565035884,Rand,Fair,M,SH,x,A,Chemistry,C,H432,C.A,D,x,-2.334019,-1.080075,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2007,22983,597527981,Aloysia,Cadreman,F,RH,x,I,Chemistry (HL),Ch,x,C.Ah1,2,x,-2.307681,-2.025679,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2008,44463,570406300,Gualterio,Bodsworth,F,RH,x,A,Chemistry,C,x,C.D,D,x,-2.304929,-1.622154,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
13,US,2009,44463,570406300,Gualterio,Bodsworth,F,x,x,A,Chemistry,C,H432C,x,B,x,-2.304929,-1.622154,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,US,2010,29655,383608306,Allsun,Aglione,M,SHD,x,A,Chemistry,C,H432A,C/D,E,x,-2.294569,-2.223773,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,49635,502393390,Henrie,Baitey,M,H,x,G,Chemistry,C,8462H,5/C/2,5,,-2.275708987,-2.432741645,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
13,US,2006,26570,193540500,Tommie,Rottcher,F,RH,x,I,Chemistry (HL),Ch,8034,C.Ah,3,x,-2.260295,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,29038,831920906,Florencia,Panting,M,Cl,x,G,Chemistry,C,x,Sc.3,5,x,-2.214434516,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2011,21543,387393854,Jonie,Bugdall,M,SHD,x,A,Chemistry,C,H432A,7/C/A,E,x,-2.207268,-2.072597,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2005,39713,715319491,Igor,Vizor,M,SH,x,I,Chemistry (SL),Cs,8035,x,3,x,-2.199018,NULL,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
13,US,2006,14615,271301144,Vasilis,Simnor,F,RH,x,I,Chemistry (HL),Ch,8034,C.Ah,2,x,-2.162894,-2.037665,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
